building_id,hauteur_m
ACT_3c13d7d5-8429-4bbc-941d-ba1e027bddcc,9.088
ACT_3c56ccc7-b812-43ce-a2db-829d1c6520f8,11.42
ACT_3cd990d2-dfb2-47ec-8b68-474d7c092ba7,8.874
ACT_3d2b28e4-3f50-4688-840a-9c4db8fb404e,12.318
ACT_3d637159-fa2f-4c81-9695-ec8e9431f8ba,8.945
ACT_3d874c85-5b4e-45a8-a1b0-e6ac592d8d83,10.093
ACT_3d984306-a287-4556-922a-dac8cca56ac4,2.977
ACT_3da81333-8743-4be5-9f68-8137e66200a9,9.246
ACT_3db525e6-6398-4485-aa5e-0f405672d291,8.382
ACT_3de221b5-e7dd-41f8-9c76-fad8833d07db,10.371
ACT_3e2ad1e3-6256-4c3c-a7dd-7dd9d4189c6a,6.19
ACT_3e408b50-77bb-415d-947f-20de6489d617,3.27
